pass,accuracy_naive_bayes,time_naive_bayes,accuracy_decision_tree,time_decision_tree
1,0.88,0:00:00.196143,0.95,0:09:11.348013
2,0.88,0:00:00.178445,0.92,0:09:11.830052
3,0.81,0:00:00.184988,0.9,0:08:33.606783
4,0.83,0:00:00.173894,0.93,0:07:53.307974
5,0.89,0:00:00.172100,0.95,0:08:36.798389
6,0.84,0:00:00.187086,0.96,0:09:13.366739
7,0.81,0:00:00.203010,0.92,0:08:43.573264
8,0.89,0:00:00.183013,0.93,0:08:57.507379
9,0.86,0:00:00.186722,0.92,0:08:54.265733
10,0.835820895522388,0:00:00.185619,0.9552238805970149,0:08:59.945983
