Project,Design,General,Proportion
akka/akka,632,1559,0.2884527612962118
antirez/redis,161,521,0.23607038123167157
ariya/phantomjs,283,894,0.24044180118946473
AutoMapper/AutoMapper,56,135,0.2931937172774869
bartaz/impress.js,64,122,0.34408602150537637
bitcoin/bitcoin,684,1790,0.2764753435731609
boto/boto,135,448,0.23156089193825044
Bukkit/CraftBukkit,323,888,0.2667217175887696
cakephp/cakephp,424,1017,0.29424011103400416
chriseppstein/compass,213,748,0.22164412070759626
codeguy/Slim,104,225,0.3161094224924012
diaspora/diaspora,675,2639,0.20368135184067593
divio/django-cms,269,966,0.21781376518218623
django-debug-toolbar/django-debug-toolbar,38,148,0.20430107526881722
django/django,216,778,0.21730382293762576
elasticsearch/elasticsearch,398,1129,0.26064178127046495
EllisLab/CodeIgniter,281,714,0.28241206030150756
facebook/hiphop-php,144,544,0.20930232558139536
facebook/tornado,160,287,0.3579418344519016
FortAwesome/Font-Awesome,155,875,0.15048543689320387
ginatrapani/ThinkUp,165,542,0.2333804809052334
github/android,30,163,0.15544041450777202
gitlabhq/gitlabhq,667,2960,0.1838985387372484
h5bp/html5-boilerplate,357,829,0.30101180438448566
hadley/devtools,64,172,0.2711864406779661
harvesthq/chosen,92,271,0.2534435261707989
hbons/SparkleShare,245,641,0.2765237020316027
imathis/octopress,200,622,0.24330900243309003
JakeWharton/ActionBarSherlock,146,464,0.23934426229508196
jkbr/httpie,12,70,0.14634146341463414
joyent/http-parser,14,95,0.12844036697247707
joyent/libuv,134,573,0.18953323903818953
joyent/node,447,1681,0.2100563909774436
jquery/jquery,387,1094,0.2613099257258609
keithw/mosh,86,185,0.3173431734317343
kennethreitz/requests,331,903,0.26823338735818475
kr/beanstalkd,42,78,0.35
libgit2/libgit2,489,995,0.32951482479784366
mangos/MaNGOS,122,714,0.145933014354067
mbostock/d3,269,597,0.31062355658198615
midgetspy/Sick-Beard,105,338,0.23702031602708803
mitsuhiko/flask,100,309,0.24449877750611246
mojombo/jekyll,343,952,0.2648648648648649
mongodb/mongo,26,172,0.13131313131313133
mono/mono,81,270,0.23076923076923078
moxiecode/plupload,144,376,0.27692307692307694
mrdoob/three.js,887,1968,0.31068301225919437
mxcl/homebrew,2531,11634,0.1786798446876103
NancyFx/Nancy,139,373,0.271484375
nathanmarz/storm,116,254,0.31351351351351353
netty/netty,449,969,0.3166431593794076
openframeworks/openFrameworks,459,1062,0.30177514792899407
plataformatec/devise,401,1176,0.25428027901078
rails/rails,2835,7686,0.2694610778443114
ravendb/ravendb,5,51,0.08928571428571429
reddit/reddit,83,453,0.15485074626865672
restsharp/RestSharp,43,174,0.19815668202764977
robey/kestrel,17,67,0.20238095238095238
rstudio/shiny,29,89,0.2457627118644068
SamSaffron/MiniProfiler,14,86,0.14
sbt/sbt,174,321,0.3515151515151515
scala/scala,628,2359,0.21024439236692333
scalatra/scalatra,39,78,0.3333333333333333
sebastianbergmann/phpunit,192,399,0.3248730964467005
ServiceStack/ServiceStack,52,125,0.2937853107344633
SignalR/SignalR,324,1116,0.225
symfony/symfony,2246,4357,0.34014841738603663
thoughtbot/paperclip,216,623,0.25744934445768775
TrinityCore/TrinityCore,386,2782,0.12184343434343434
twitter/finagle,42,90,0.3181818181818182
twitter/gizzard,8,45,0.1509433962264151
twitter/zipkin,33,140,0.1907514450867052
vmg/redcarpet,46,159,0.22439024390243903
xbmc/xbmc,1095,2421,0.31143344709897613
yihui/knitr,128,292,0.3047619047619048
zendframework/zf2,586,1726,0.25346020761245674
zurb/foundation,407,1431,0.22143634385201305
